"Team","ELO","Group","GroupWin","Qualify","R16","QF","SF","Final","Champion"
"Spain",2165,"H",90.3,100,86,67.9,59.7,45,32
"Argentina",2113,"J",88.2,99.5,74.6,63.6,48.4,34.5,19.5
"France",2082,"I",71.2,99.2,83.4,62.3,46.4,25.2,14.7
"England",2020,"L",63.8,99.2,72.5,47.9,29.6,15.1,6.6
"Portugal",1984,"K",48.6,96.8,65.5,36.9,18.9,10,4.1
"Brazil",1984,"C",71,98.9,62.8,37.9,21.4,9.5,3.9
"Colombia",1975,"K",46.3,96.3,62.1,34.4,16.6,8.2,3.2
"Netherlands",1961,"F",56.5,96.9,60.4,40.2,19.7,7.2,3
"Ecuador",1933,"E",49.9,99.1,61.5,27.7,14.3,5.4,1.7
"Germany",1923,"E",46.1,98.7,58.7,25.6,13.1,4.5,1.6
"Turkey",1902,"D",48.3,89.1,61.2,32,10.4,4,1.4
"Croatia",1930,"L",32,97,53.5,24.1,11.9,4.7,1.4
"Japan",1904,"F",36.4,92.7,48.6,26.6,10.9,3.6,1.1
"Norway",1912,"I",16.6,87.2,51,26.1,11.5,3.9,1.1
"Switzerland",1889,"B",65.9,99.2,68.7,31,10.3,3.7,1
"Belgium",1866,"G",59.9,95.1,59.7,27.5,7,2.6,0.7
"Uruguay",1892,"H",9.6,96.1,29,16.6,7.5,2.7,0.7
"Senegal",1879,"I",12.1,81.8,43.3,20.2,7.3,2.4,0.6
"Mexico",1858,"A",58.1,95.4,56.6,22.2,8,2.1,0.5
"Morocco",1821,"C",18.4,87.7,33.5,14.4,4.4,0.9,0.2
"Paraguay",1833,"D",26.6,77.5,42.7,15.3,3.7,1.2,0.2
"South Korea",1752,"A",22.9,83.3,36.3,10.4,2,0.3,0.1
"Canada",1784,"B",30.1,95.2,49.5,16.2,3.2,0.6,0.1
"Scotland",1767,"C",10.2,77.7,25.4,8.5,2.2,0.4,0.1
"Australia",1783,"D",16.2,64,28.3,8.3,1.7,0.3,0.1
"Austria",1827,"J",7.6,74.1,17.3,7.3,2.2,0.5,0.1
"South Africa",1524,"A",1.9,19.7,2.9,0.5,0.1,0,0
"Czechia",1726,"A",17.2,78.4,31.3,8.3,1.3,0.2,0
"Qatar",1425,"B",0.2,11.3,1,0.1,0,0,0
"Bosnia and Herzegovina",1594,"B",3.8,59.5,12.1,2.1,0.1,0,0
"Haiti",1532,"C",0.4,10.5,1.2,0.1,0,0,0
"United States",1721,"D",8.9,45,15.1,3.9,0.8,0.1,0
"Ivory Coast",1676,"E",4,66.1,16.8,3.6,0.4,0.1,0
"Curaçao",1436,"E",0.1,4.8,0.2,0,0,0,0
"Tunisia",1636,"F",1.7,26,4.7,0.8,0.1,0,0
"Sweden",1719,"F",5.3,52.1,13.7,3.7,0.7,0.1,0
"Iran",1760,"G",24.7,82,34.5,9,1.6,0.4,0
"Egypt",1689,"G",11.6,64.3,19.2,3.4,0.5,0.1,0
"New Zealand",1585,"G",3.8,31.6,5.9,0.5,0,0,0
"Saudi Arabia",1568,"H",0,20.6,2.3,0.3,0,0,0
"Cape Verde",1549,"H",0.1,16.5,2,0.3,0,0,0
"Iraq",1607,"I",0.2,8.1,1.4,0.3,0,0,0
"Algeria",1743,"J",2.8,49.7,9.7,3,0.5,0.1,0
"Jordan",1690,"J",1.5,34.4,5.5,1.5,0.2,0,0
"Uzbekistan",1727,"K",3.8,45.9,9.9,2.5,0.6,0.1,0
"DR Congo",1655,"K",1.4,23.7,3.6,0.7,0.1,0,0
"Panama",1737,"L",4.1,66.1,14.8,4.4,0.8,0.2,0
"Ghana",1505,"L",0.1,5.6,0.1,0,0,0,0
